gene	cluster
MA_5320g0010	Cluster1
MA_32763g0010	Cluster1
MA_66378g0010	Cluster1
MA_10431452g0010	Cluster1
MA_30375g0010	Cluster1
MA_10429770g0020	Cluster1
MA_8414035g0010	Cluster1
MA_29426g0010	Cluster1
MA_10430592g0010	Cluster1
MA_10430428g0010	Cluster1
MA_10434313g0010	Cluster1
MA_87371g0010	Cluster1
MA_7336477g0010	Cluster1
MA_16445g0010	Cluster1
MA_10428408g0010	Cluster1
MA_95995g0010	Cluster1
MA_10427207g0010	Cluster1
MA_10426583g0010	Cluster1
MA_10433352g0010	Cluster1
MA_9071020g0010	Cluster1
MA_20700g0010	Cluster1
MA_10427879g0010	Cluster1
MA_192059g0010	Cluster1
MA_10431459g0010	Cluster1
MA_12926g0010	Cluster1
MA_901965g0010	Cluster1
MA_174616g0010	Cluster1
MA_32668g0010	Cluster1
MA_747559g0010	Cluster1
MA_6617152g0010	Cluster1
MA_98483g0010	Cluster1
MA_57932g0010	Cluster1
MA_120345g0010	Cluster1
MA_54742g0010	Cluster1
MA_56692g0010	Cluster1
MA_68608g0020	Cluster1
MA_16624g0010	Cluster1
MA_115880g0010	Cluster1
MA_6256298g0010	Cluster1
MA_10433299g0030	Cluster1
MA_10011775g0010	Cluster1
MA_10432047g0010	Cluster1
MA_10433425g0010	Cluster1
MA_16778g0010	Cluster1
MA_497337g0010	Cluster1
MA_135987g0010	Cluster1
MA_95456g0010	Cluster1
MA_2575415g0010	Cluster1
MA_15932g0010	Cluster1
MA_110832g0010	Cluster1
MA_32711g0010	Cluster1
MA_3844g0010	Cluster1
MA_119996g0010	Cluster1
MA_8964512g0010	Cluster1
MA_44504g0020	Cluster1
MA_103595g0010	Cluster1
MA_10430236g0010	Cluster1
MA_120757g0010	Cluster1
MA_17503g0010	Cluster1
MA_10432963g0010	Cluster1
MA_227482g0010	Cluster1
MA_2450g0010	Cluster1
MA_42545g0010	Cluster1
MA_19634g0010	Cluster1
MA_17985g0010	Cluster1
MA_103920g0010	Cluster1
MA_10436358g0010	Cluster1
MA_8915413g0010	Cluster1
MA_10436845g0010	Cluster1
MA_97574g0010	Cluster1
MA_3392755g0010	Cluster1
MA_12061g0010	Cluster1
MA_12998g0010	Cluster1
MA_10430690g0010	Cluster1
MA_134875g0010	Cluster1
MA_773806g0010	Cluster1
MA_638933g0010	Cluster1
MA_84713g0010	Cluster1
MA_100472g0010	Cluster1
